26.234987,0,0,0,0,0.209,0.928,0.364,-1.465,3.357,9.521
0.002734,0.8303051,0.52196771,-0.19112222,-0.04019248,0.187,0.885,0.377,2.625,6.104,14.404
0.022679,0.83030969,0.52212149,-0.19106373,-0.03833525,0.215,0.942,0.391,3.662,8.728,25.269
0.042624,0.83040655,0.52221555,-0.19102684,-0.03499408,0.252,0.869,0.368,6.775,19.897,33.63
0.062569,0.83059865,0.52186131,-0.19190982,-0.03061474,0.284,0.864,0.351,3.052,19.226,46.936
0.082514,0.83137691,0.52001232,-0.19452225,-0.0236784,0.292,0.872,0.375,-6.409,18.127,85.205
0.10246,0.83253282,0.51692754,-0.19871542,-0.01368102,0.297,0.864,0.379,-12.878,21.423,127.319
0.122405,0.83399171,0.5124253,-0.20463514,-0.00163139,0.298,0.856,0.457,-17.151,14.648,161.743
0.14235,0.83427292,0.50923574,-0.21131139,0.00388478,0.223,0.903,0.481,-14.16,-37.292,109.131
0.162295,0.83463115,0.5071035,-0.21502605,0.00085488,0.219,0.847,0.425,-27.161,-58.716,9.277
0.18224,0.8338601,0.50627929,-0.2198882,-0.00279038,0.345,0.736,0.473,-0.061,-73.425,-7.69
0.202186,0.83043635,0.51018286,-0.22376627,-0.00419833,0.438,0.6,0.312,56.885,-47.424,-17.761
0.222131,0.82691145,0.51439947,-0.2271595,-0.00303394,0.373,0.681,0.329,66.162,-32.104,12.634
0.242076,0.82327676,0.51964891,-0.22841527,-0.00260911,0.339,0.773,0.318,70.862,-18.005,-2.441
0.262021,0.82153457,0.52293557,-0.22713913,-0.00520861,0.318,0.826,0.284,28.992,-7.141,-36.804
0.281967,0.82045555,0.52544332,-0.22509544,-0.0096969,0.353,0.803,0.303,15.93,-8.911,-62.134
0.302013,0.8195129,0.5275566,-0.22340147,-0.01320568,0.377,0.763,0.301,15.93,-4.883,-54.688
0.321857,0.81874579,0.52927786,-0.22206387,-0.01442066,0.37,0.742,0.266,14.832,7.324,-31.006
0.341802,0.8189441,0.52910048,-0.22180703,-0.01359726,0.341,0.74,0.231,-6.836,12.146,1.892
0.361747,0.81916493,0.52875078,-0.2219431,-0.01151772,0.323,0.761,0.282,-1.038,13.306,19.287
0.381693,0.81901193,0.52893132,-0.22219771,-0.00890848,0.324,0.773,0.293,8.24,13.977,24.292
0.401638,0.8188799,0.52891624,-0.2227966,-0.0067089,0.355,0.805,0.286,3.235,9.766,21.423
0.421583,0.8189072,0.52858746,-0.22351824,-0.00508884,0.397,0.812,0.304,-0.549,6.287,13.855
0.441528,0.818883,0.52827382,-0.22437045,-0.00390507,0.396,0.768,0.282,-1.77,3.113,9.033
0.461474,0.81893528,0.52802747,-0.22477025,-0.00320995,0.37,0.755,0.283,-2.319,3.418,3.967
0.481419,0.81879884,0.52809525,-0.22511666,-0.00251731,0.363,0.773,0.294,2.136,2.625,4.456
0.501364,0.81862199,0.52803373,-0.22591376,-0.00116928,0.359,0.784,0.284,1.465,2.441,14.709
0.521309,0.81852299,0.52807587,-0.22617598,-0.00068428,0.355,0.764,0.276,-0.244,2.502,2.93
0.541254,0.81854141,0.52813447,-0.22597179,-0.00086084,0.363,0.769,0.284,-1.892,3.113,-6.653
0.5612,0.81875265,0.52797896,-0.2255688,-0.0010274,0.345,0.783,0.296,-4.395,4.272,-4.7
0.581145,0.81906223,0.52754897,-0.22545214,-0.0006823,0.351,0.773,0.3,-5.493,5.066,1.404
0.60109,0.8193562,0.5270949,-0.2254471,-0.00001073,0.343,0.79,0.313,-4.211,5.066,6.836
0.621035,0.8193717,0.52708995,-0.22540182,0.0004587,0.347,0.779,0.309,1.099,3.845,2.747
0.64098,0.81943852,0.52699035,-0.22539093,0.00075787,0.37,0.769,0.302,-0.854,3.906,-1.282
0.660926,0.81956363,0.52695614,-0.22501692,0.00022907,0.361,0.78,0.29,-4.517,2.625,-9.888
0.680871,0.81986803,0.52677202,-0.2243358,-0.00103178,0.383,0.777,0.305,-7.202,1.831,-20.752
0.700816,0.81990272,0.52691036,-0.22387777,-0.00192693,0.348,0.788,0.316,-0.977,-0.549,-12.939
0.720762,0.81991631,0.52697039,-0.22368282,-0.00232352,0.341,0.785,0.314,-0.366,-0.183,-6.104
0.740707,0.81990349,0.52694148,-0.22379793,-0.00232713,0.347,0.776,0.304,-0.732,-0.061,-1.404
0.760652,0.81995535,0.52681351,-0.22390988,-0.0022546,0.349,0.758,0.306,-0.916,0.549,-1.343
0.780597,0.82002217,0.526752,-0.22380738,-0.00249705,0.353,0.788,0.3,-3.113,1.16,-4.883
0.800542,0.82024521,0.52651173,-0.22354874,-0.00303691,0.349,0.794,0.309,-5.798,0.671,-7.507
0.820488,0.82058638,0.52617991,-0.22306775,-0.00367367,0.331,0.789,0.313,-7.019,1.587,-7.935
0.840433,0.82094759,0.52570873,-0.22284661,-0.00384135,0.334,0.784,0.316,-6.836,2.136,-2.319
